"","Thermophilic","Nonfreshwater_habitat","Akinetes","Heterocysts","Nitrogen_fixation","Morphology","Habit","Freeliving","Mats","Epi/Endolithic","Epiphytic","Periphytic","Motility","Hormogonia","Gas_vesicles","False_Branching","True_Branching","Fission_in_multiple_planes","Multiseriate_trichomes","Baeocytes","Extracellular_sheath","Mucilage","celldiam_mean"
"Synechococcus.sp.PCC7002",0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1.35
"Cyanobacterium.stanieri.PCC7202",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95
"Geminocystis.herdmanii.PCC6308",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.75
"Cyanobacterium.aponinum.PCC10605",0,1,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2.5
"Stanieria.cyanosphaera.PCC7437",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,30
"Pleurocapsa.sp.PCC7319",0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,7
"Xenococcus.sp.PCC7305",0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,15
"Pleurocapsa.sp.PCC7327",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,NA,0,5
"Microcystis.aeruginosa.NIES.843",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.5
"Microcystis.sp.T1.4",0,0,0,0,0,0,0,1,0,0,0,0,NA,0,1,0,0,1,0,0,0,1,4.5
"Cyanothece.sp.PCC7822",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
"Cyanothece.sp.PCC7424",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
"Cyanothece.sp.PCC8801",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Crocosphaera.watsonii.WH8501",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Cyanothece.sp.ATCC51142",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
"Cyanothece.sp.CCY0110",0,1,0,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,1,NA
"Cyanobacterium.UCYN.A",0,1,0,0,1,0,1,0,0,0,1,0,NA,0,NA,0,0,0,0,0,NA,NA,0.62
"Synechocystis.sp.PCC6803",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2.4
"Moorea.producta.3L",0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,46
"Microcoleus.chthonoplastes.PCC7420",0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,4.75
"Microcoleus.sp.PCC7113",0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,3.75
"Oscillatoriales.cyanobacterium.JSC.12",NA,0,0,0,NA,1,1,0,1,0,0,0,NA,NA,NA,0,0,0,1,0,1,NA,NA
"Thermosynechococcus.elongatus.BP.1",1,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1.3
"Synechococcus.sp.PCC6312",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1.4
"Cyanothece.sp.PCC7425",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
"Acaryochloris.sp.CCMEE5410",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.75
"Acaryochloris.marina.MBIC11017",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.25
"Geitlerinema.sp.PCC7105",0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,2.25
"Prochlorothrix.hollandica.PCC9006",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"Gloeobacter.violaceus.PCC7421",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.1
